Type,Filename,Voltage (V),Frequency (MHz),Cycles (M),Avg Current (A),Avg Power (mW),Time (s),Energy (mJ)
High Efficiency (context),test_2_0.55v_100MHz.csv,0.55,100.0,408.405877,0.016416375,9.02900625,4.08405877,36.87499215969732
High Efficiency (best),test_2_0.55v_150MHz.csv,0.55,150.0,408.895428,0.021334833333333334,11.734158333333335,2.72596952,31.986957959520666
High Performance (context),test_3_1.00v_1050MHz.csv,1.0,1050.0,418.30628,0.22258250000000002,222.5825,0.39838693333333336,88.67395958866668
High Performance (best),test_3_1.00v_1100MHz.csv,1.0,1100.0,418.846596,0.224294,224.29399999999998,0.3807696327272727,85.4043440029309
