Type,Filename,Voltage (V),Frequency (MHz),Cycles (M),Avg Current (A),Avg Power (mW),Time (s),Energy (mJ)
High Efficiency (best),test_1_0.55v_50MHz.csv,0.55,50.0,207.960745,0.011408499999999999,6.274674999999999,4.1592149,26.0977217526575
High Efficiency (context),test_1_0.55v_100MHz.csv,0.55,100.0,399.419792,0.016454444444444445,9.049944444444446,3.99419792,36.14726927611556
High Performance (context),test_1_1.05v_1000MHz.csv,1.05,1000.0,3869.022201,0.2268214375,238.16250937499998,3.869022201,921.4560362177456
High Performance (best),test_1_1.05v_1050MHz.csv,1.05,1050.0,4059.749916,0.2375295,249.405975,3.8664284914285716,964.3103676725221
High Performance (context),test_1_1.05v_1100MHz.csv,1.05,1100.0,4255.073299,0.2484209375,260.841984375,3.8682484536363635,1009.0016027020343
