Type,Filename,Voltage (V),Frequency (MHz),Cycles (M),Avg Current (A),Avg Power (mW),Time (s),Energy (mJ)
High Efficiency (context),test_0_0.55v_100MHz.csv,0.55,100.0,1198.408003,0.016510444444444446,9.080744444444447,11.98408003,108.82436815420013
High Efficiency (best),test_0_0.55v_150MHz.csv,0.55,150.0,1198.41727,0.02158538888888889,11.87196388888889,7.9894484666666665,94.85044368840538
High Performance (context),test_0_1.10v_1150MHz.csv,1.1,1150.0,1198.688127,0.2810254,309.12793999999997,1.0423375017391305,322.21564469736387
High Performance (best),test_0_1.10v_1200MHz.csv,1.1,1200.0,1198.617442,0.29801975,327.8217250000001,0.9988478683333334,327.4440312096063
