Type,Filename,Voltage (V),Frequency (Hz),Cycles,Avg Current (A),Avg Power (W),Time (s),Energy (J)
High Efficiency (best),test_1_0.55v_50MHz.csv,0.55,50000000.0,207960745,0.011408499999999999,0.0062746749999999995,4.1592149,0.0260977217526575
High Efficiency (context),test_1_0.55v_100MHz.csv,0.55,100000000.0,399419792,0.016454444444444445,0.009049944444444446,3.99419792,0.03614726927611556
High Performance (context),test_1_1.05v_1000MHz.csv,1.05,1000000000.0,3869022201,0.2268214375,0.238162509375,3.869022201,0.9214560362177456
High Performance (best),test_1_1.05v_1050MHz.csv,1.05,1050000000.0,4059749916,0.2375295,0.249405975,3.8664284914285716,0.9643103676725221
High Performance (context),test_1_1.05v_1100MHz.csv,1.05,1100000000.0,4255073299,0.2484209375,0.260841984375,3.8682484536363635,1.0090016027020343
