Channels: 2
Sample Rate: 44100
Bits per Sample: 16
header size: 1058400

[STARTING TEST]
Starting DMA FFT
[DONE] Waiting Write
mcycle = 11919
minstret = 1739
Starting CPU FFT
mcycle = 195051
minstret = 47101
Finished CPU FFT
Start CPU vs DMA Comparison
[82] [CPU] Real: (-791)
[82] [DMA] Real: (222917632.000000)
[83] [CPU] Real: (1293)
[83] [DMA] Real: (534381568.000000)
[84] [CPU] Real: (2047)
[84] [DMA] Real: (930733568.000000)
[85] [CPU] Real: (1345)
[85] [DMA] Real: (1453886464.000000)
[86] [CPU] Real: (483)
[86] [DMA] Real: (2180882944.000000)
[87] [CPU] Real: (-874)
[87] [DMA] Real: (3254861824.000000)
[88] [CPU] Real: (-153)
[88] [DMA] Real: (4990416896.000000)
[89] [CPU] Real: (-118)
[89] [DMA] Real: (8192789504.000000)
[90] [CPU] Real: (442)
[90] [DMA] Real: (15980874752.000000)
[91] [CPU] Real: (-706)
[91] [DMA] Real: (60434759680.000000)
[92] [CPU] Real: (-523)
[92] [DMA] Real: (-51381141504.000000)
[93] [CPU] Real: (56)
[93] [DMA] Real: (-20830625792.000000)
[94] [CPU] Real: (-1711)
[94] [DMA] Real: (-14111353856.000000)
[95] [CPU] Real: (2146)
[95] [DMA] Real: (-11200422912.000000)
[96] [CPU] Real: (2152)
[96] [DMA] Real: (-9612034048.000000)
[97] [CPU] Real: (-1788)
[97] [DMA] Real: (-8630215680.000000)
[98] [CPU] Real: (1296)
[98] [DMA] Real: (-7986164736.000000)
[99] [CPU] Real: (202)
[99] [DMA] Real: (-7551984640.000000)
[100] [CPU] Real: (-69)
[100] [DMA] Real: (-7261026304.000000)
[101] [CPU] Real: (654)
[101] [DMA] Real: (-7075086336.000000)
[102] [CPU] Real: (559)
[102] [DMA] Real: (-6975874048.000000)
[103] [CPU] Real: (215)
[103] [DMA] Real: (-6958935040.000000)
[104] [CPU] Real: (-825)
[104] [DMA] Real: (-7032826880.000000)
[105] [CPU] Real: (281)
[105] [DMA] Real: (-7222946816.000000)
[106] [CPU] Real: (687)
[106] [DMA] Real: (-7589492224.000000)
[107] [CPU] Real: (963)
[107] [DMA] Real: (-8312841216.000000)
[108] [CPU] Real: (733)
[108] [DMA] Real: (-9962840064.000000)
[109] [CPU] Real: (-1832)
[109] [DMA] Real: (-16414653440.000000)
[110] [CPU] Real: (-1457)
[110] [DMA] Real: (21799510016.000000)
[111] [CPU] Real: (-1290)
[111] [DMA] Real: (790892352.000000)
[112] [CPU] Real: (-326)
[112] [DMA] Real: (-1805791488.000000)
[113] [CPU] Real: (-823)
[113] [DMA] Real: (-2805493248.000000)
[114] [CPU] Real: (1211)
[114] [DMA] Real: (-3336445952.000000)
[115] [CPU] Real: (-1275)
[115] [DMA] Real: (-3659766272.000000)
[116] [CPU] Real: (1009)
[116] [DMA] Real: (-3877448960.000000)
[117] [CPU] Real: (-769)
[117] [DMA] Real: (-4033428480.000000)
[118] [CPU] Real: (-677)
[118] [DMA] Real: (-4152197888.000000)
[119] [CPU] Real: (-1561)
[119] [DMA] Real: (-4243329536.000000)
[120] [CPU] Real: (-44)
[120] [DMA] Real: (-4315289600.000000)
[121] [CPU] Real: (-545)
[121] [DMA] Real: (-4372599296.000000)
[122] [CPU] Real: (560)
[122] [DMA] Real: (-4421685248.000000)
[123] [CPU] Real: (-128)
[123] [DMA] Real: (-4463276544.000000)
[124] [CPU] Real: (-85)
[124] [DMA] Real: (-4498058752.000000)
[125] [CPU] Real: (-692)
[125] [DMA] Real: (-4531202560.000000)
[126] [CPU] Real: (1856)
[126] [DMA] Real: (-4568263168.000000)
[127] [CPU] Real: (1947)
[127] [DMA] Real: (-4639082496.000000)
[CPU] Resulting frequency is about 151.250000
[DMA] Resulting frequency is about 873.125000
End CPU vs DMA Comparison
[DONE] Test
