Channels: 2
Sample Rate: 44100
Bits per Sample: 16
header size: 1058400

[STARTING TEST]
Starting DMA FFT
[DONE] Waiting Write
mcycle = 11296
minstret = 1857
Starting CPU FFT
mcycle = 189937
minstret = 47101
Finished CPU FFT
Start CPU vs DMA Comparison
[51] [DMA] Imag: (-618), Real: (-879)
[51] [CPU] Imag: (-623689984.000000),  Real: (-928682880.000000)
[52] [DMA] Imag: (-411), Real: (-537)
[52] [CPU] Imag: (-580128448.000000),  Real: (-1280827136.000000)
[53] [DMA] Imag: (1231), Real: (680)
[53] [CPU] Imag: (-535972928.000000),  Real: (-1920726016.000000)
[54] [DMA] Imag: (-361), Real: (1185)
[54] [CPU] Imag: (-489986656.000000),  Real: (-3926523136.000000)
[55] [DMA] Imag: (1776), Real: (-2440)
[55] [CPU] Imag: (-467558496.000000),  Real: (19963502592.000000)
[56] [DMA] Imag: (1764), Real: (851)
[56] [CPU] Imag: (-420361888.000000),  Real: (2199973120.000000)
[57] [DMA] Imag: (-1913), Real: (-779)
[57] [CPU] Imag: (-371008672.000000),  Real: (1009460096.000000)
[58] [DMA] Imag: (488), Real: (-1419)
[58] [CPU] Imag: (-319786592.000000),  Real: (577893120.000000)
[59] [DMA] Imag: (-1341), Real: (-976)
[59] [CPU] Imag: (-269487136.000000),  Real: (354945536.000000)
[60] [DMA] Imag: (2296), Real: (-1808)
[60] [CPU] Imag: (-216830720.000000),  Real: (224996864.000000)
[61] [DMA] Imag: (-47), Real: (2672)
[61] [CPU] Imag: (-162940384.000000),  Real: (144869888.000000)
[62] [DMA] Imag: (-456), Real: (-975)
[62] [CPU] Imag: (-108403040.000000),  Real: (95983104.000000)
[63] [DMA] Imag: (-626), Real: (-784)
[63] [CPU] Imag: (-55031232.000000),  Real: (67532288.000000)
[64] [DMA] Imag: (890), Real: (1993)
[64] [CPU] Imag: (0.000000),  Real: (58720256.000000)
[65] [DMA] Imag: (-704), Real: (1847)
[65] [CPU] Imag: (55031232.000000),  Real: (67532288.000000)
[66] [DMA] Imag: (1931), Real: (2167)
[66] [CPU] Imag: (108403040.000000),  Real: (95983104.000000)
[67] [DMA] Imag: (-49), Real: (254)
[67] [CPU] Imag: (162940384.000000),  Real: (144869888.000000)
[68] [DMA] Imag: (1947), Real: (329)
[68] [CPU] Imag: (216830720.000000),  Real: (224996864.000000)
[69] [DMA] Imag: (129), Real: (-2201)
[69] [CPU] Imag: (269487136.000000),  Real: (354945536.000000)
[70] [DMA] Imag: (-642), Real: (-2008)
[70] [CPU] Imag: (319786592.000000),  Real: (577893120.000000)
[71] [DMA] Imag: (-73), Real: (491)
[71] [CPU] Imag: (371008672.000000),  Real: (1009460096.000000)
[72] [DMA] Imag: (582), Real: (-1453)
[72] [CPU] Imag: (420361888.000000),  Real: (2199973120.000000)
[73] [DMA] Imag: (-1900), Real: (377)
[73] [CPU] Imag: (467558496.000000),  Real: (19963502592.000000)
[74] [DMA] Imag: (2914), Real: (-270)
[74] [CPU] Imag: (489986656.000000),  Real: (-3926523136.000000)
[75] [DMA] Imag: (-674), Real: (88)
[75] [CPU] Imag: (535972928.000000),  Real: (-1920726016.000000)
[76] [DMA] Imag: (-219), Real: (-549)
[76] [CPU] Imag: (580128448.000000),  Real: (-1280827136.000000)
[77] [DMA] Imag: (-1788), Real: (129)
[77] [CPU] Imag: (623689984.000000),  Real: (-928682880.000000)
[78] [DMA] Imag: (-510), Real: (-677)
[78] [CPU] Imag: (665494016.000000),  Real: (-679923712.000000)
[79] [DMA] Imag: (1864), Real: (-869)
[79] [CPU] Imag: (707708864.000000),  Real: (-464671744.000000)
[80] [DMA] Imag: (1602), Real: (-1309)
[80] [CPU] Imag: (748689856.000000),  Real: (-255455040.000000)
[81] [DMA] Imag: (2001), Real: (-1225)
[81] [CPU] Imag: (785744768.000000),  Real: (-33199552.000000)
[82] [DMA] Imag: (-6858), Real: (771)
[82] [CPU] Imag: (822419200.000000),  Real: (222917632.000000)
[83] [DMA] Imag: (1083), Real: (337)
[83] [CPU] Imag: (857083904.000000),  Real: (534381568.000000)
[84] [DMA] Imag: (391), Real: (2336)
[84] [CPU] Imag: (889142784.000000),  Real: (930733568.000000)
[85] [DMA] Imag: (1092), Real: (-3917)
[85] [CPU] Imag: (919235456.000000),  Real: (1453886464.000000)
[86] [DMA] Imag: (138), Real: (-529)
[86] [CPU] Imag: (947752576.000000),  Real: (2180882944.000000)
[87] [DMA] Imag: (-294), Real: (8)
[87] [CPU] Imag: (973475264.000000),  Real: (3254861824.000000)
[88] [DMA] Imag: (-1360), Real: (132)
[88] [CPU] Imag: (993803584.000000),  Real: (4990416896.000000)
[89] [DMA] Imag: (557), Real: (1318)
[89] [CPU] Imag: (1014552448.000000),  Real: (8192789504.000000)
[90] [DMA] Imag: (-1195), Real: (-280)
[90] [CPU] Imag: (1031140352.000000),  Real: (15980874752.000000)
[91] [DMA] Imag: (1283), Real: (-1178)
[91] [CPU] Imag: (1045616064.000000),  Real: (60434759680.000000)
[92] [DMA] Imag: (-2497), Real: (1180)
[92] [CPU] Imag: (1031971584.000000),  Real: (-51381141504.000000)
[93] [DMA] Imag: (22), Real: (2758)
[93] [CPU] Imag: (1041920832.000000),  Real: (-20830625792.000000)
[94] [DMA] Imag: (-125), Real: (-1634)
[94] [CPU] Imag: (1048063296.000000),  Real: (-14111353856.000000)
[95] [DMA] Imag: (-1074), Real: (1705)
[95] [CPU] Imag: (1053495936.000000),  Real: (-11200422912.000000)
[96] [DMA] Imag: (769), Real: (2223)
[96] [CPU] Imag: (1054089216.000000),  Real: (-9612034048.000000)
[97] [DMA] Imag: (-194), Real: (-1673)
[97] [CPU] Imag: (1055291776.000000),  Real: (-8630215680.000000)
[98] [DMA] Imag: (146), Real: (-1329)
[98] [CPU] Imag: (1054501952.000000),  Real: (-7986164736.000000)
[99] [DMA] Imag: (2141), Real: (-2445)
[99] [CPU] Imag: (1049838784.000000),  Real: (-7551984640.000000)
[100] [DMA] Imag: (2249), Real: (-434)
[100] [CPU] Imag: (1043097856.000000),  Real: (-7261026304.000000)
[101] [DMA] Imag: (516), Real: (667)
[101] [CPU] Imag: (1033997888.000000),  Real: (-7075086336.000000)
[102] [DMA] Imag: (903), Real: (1117)
[102] [CPU] Imag: (1022419712.000000),  Real: (-6975874048.000000)
[103] [DMA] Imag: (1236), Real: (532)
[103] [CPU] Imag: (1007334656.000000),  Real: (-6958935040.000000)
[104] [DMA] Imag: (1324), Real: (-1223)
[104] [CPU] Imag: (991722432.000000),  Real: (-7032826880.000000)
[105] [DMA] Imag: (-207), Real: (-118)
[105] [CPU] Imag: (973193792.000000),  Real: (-7222946816.000000)
[106] [DMA] Imag: (-1932), Real: (1394)
[106] [CPU] Imag: (949565440.000000),  Real: (-7589492224.000000)
[107] [DMA] Imag: (967), Real: (1114)
[107] [CPU] Imag: (924994176.000000),  Real: (-8312841216.000000)
[108] [DMA] Imag: (1152), Real: (215)
[108] [CPU] Imag: (896626816.000000),  Real: (-9962840064.000000)
[109] [DMA] Imag: (-3488), Real: (2503)
[109] [CPU] Imag: (867339520.000000),  Real: (-16414653440.000000)
[110] [DMA] Imag: (-2296), Real: (-1040)
[110] [CPU] Imag: (811321600.000000),  Real: (21799510016.000000)
[111] [DMA] Imag: (-2038), Real: (-1013)
[111] [CPU] Imag: (776299904.000000),  Real: (790892352.000000)
[112] [DMA] Imag: (-2151), Real: (-404)
[112] [CPU] Imag: (740800960.000000),  Real: (-1805791488.000000)
[113] [DMA] Imag: (-47), Real: (-1567)
[113] [CPU] Imag: (704955456.000000),  Real: (-2805493248.000000)
[114] [DMA] Imag: (-2065), Real: (-21)
[114] [CPU] Imag: (664793600.000000),  Real: (-3336445952.000000)
[115] [DMA] Imag: (137), Real: (-1672)
[115] [CPU] Imag: (625540864.000000),  Real: (-3659766272.000000)
[116] [DMA] Imag: (2006), Real: (1001)
[116] [CPU] Imag: (585291072.000000),  Real: (-3877448960.000000)
[117] [DMA] Imag: (1460), Real: (1441)
[117] [CPU] Imag: (543553472.000000),  Real: (-4033428480.000000)
[118] [DMA] Imag: (-1963), Real: (576)
[118] [CPU] Imag: (499702688.000000),  Real: (-4152197888.000000)
[119] [DMA] Imag: (-1989), Real: (-356)
[119] [CPU] Imag: (455715744.000000),  Real: (-4243329536.000000)
[120] [DMA] Imag: (1746), Real: (-736)
[120] [CPU] Imag: (410637664.000000),  Real: (-4315289600.000000)
[121] [DMA] Imag: (-1940), Real: (-82)
[121] [CPU] Imag: (362867552.000000),  Real: (-4372599296.000000)
[122] [DMA] Imag: (-808), Real: (1128)
[122] [CPU] Imag: (316147104.000000),  Real: (-4421685248.000000)
[123] [DMA] Imag: (-1641), Real: (-1159)
[123] [CPU] Imag: (268270560.000000),  Real: (-4463276544.000000)
[124] [DMA] Imag: (-426), Real: (-1872)
[124] [CPU] Imag: (218508544.000000),  Real: (-4498058752.000000)
[125] [DMA] Imag: (-44), Real: (-278)
[125] [CPU] Imag: (167439904.000000),  Real: (-4531202560.000000)
[126] [DMA] Imag: (675), Real: (1763)
[126] [CPU] Imag: (116371104.000000),  Real: (-4568263168.000000)
[127] [DMA] Imag: (-754), Real: (1908)
[127] [CPU] Imag: (64734272.000000),  Real: (-4639082496.000000)
[CPU] Resulting frequency is about 213.125000
[DMA] Resulting frequency is about 783.750000
End CPU vs DMA Comparison
[DONE] Test
