Channels: 2
Sample Rate: 44100
Bits per Sample: 16
header size: 1058400

[STARTING TEST]
Starting DMA FFT
[DONE] Waiting Write
mcycle = 12609
minstret = 1917
Starting CPU FFT
mcycle = 191479
minstret = 47101
Finished CPU FFT
Start CPU vs DMA Comparison
[81] [DMA] Real: (-33199552.000000)
[82] [CPU] Real: (-665)
[82] [DMA] Real: (222917632.000000)
[83] [CPU] Real: (-173)
[83] [DMA] Real: (534381568.000000)
[84] [CPU] Real: (1451)
[84] [DMA] Real: (930733568.000000)
[85] [CPU] Real: (-1797)
[85] [DMA] Real: (1453886464.000000)
[86] [CPU] Real: (998)
[86] [DMA] Real: (2180882944.000000)
[87] [CPU] Real: (-143)
[87] [DMA] Real: (3254861824.000000)
[88] [CPU] Real: (-647)
[88] [DMA] Real: (4990416896.000000)
[89] [CPU] Real: (-727)
[89] [DMA] Real: (8192789504.000000)
[90] [CPU] Real: (1210)
[90] [DMA] Real: (15980874752.000000)
[91] [CPU] Real: (-838)
[91] [DMA] Real: (60434759680.000000)
[92] [CPU] Real: (-1357)
[92] [DMA] Real: (-51381141504.000000)
[93] [CPU] Real: (1117)
[93] [DMA] Real: (-20830625792.000000)
[94] [CPU] Real: (-1831)
[94] [DMA] Real: (-14111353856.000000)
[95] [CPU] Real: (2198)
[95] [DMA] Real: (-11200422912.000000)
[96] [CPU] Real: (2492)
[96] [DMA] Real: (-9612034048.000000)
[97] [CPU] Real: (-1754)
[97] [DMA] Real: (-8630215680.000000)
[98] [CPU] Real: (1782)
[98] [DMA] Real: (-7986164736.000000)
[99] [CPU] Real: (515)
[99] [DMA] Real: (-7551984640.000000)
[100] [CPU] Real: (59)
[100] [DMA] Real: (-7261026304.000000)
[101] [CPU] Real: (69)
[101] [DMA] Real: (-7075086336.000000)
[102] [CPU] Real: (-227)
[102] [DMA] Real: (-6975874048.000000)
[103] [CPU] Real: (280)
[103] [DMA] Real: (-6958935040.000000)
[104] [CPU] Real: (-615)
[104] [DMA] Real: (-7032826880.000000)
[105] [CPU] Real: (289)
[105] [DMA] Real: (-7222946816.000000)
[106] [CPU] Real: (1139)
[106] [DMA] Real: (-7589492224.000000)
[107] [CPU] Real: (450)
[107] [DMA] Real: (-8312841216.000000)
[108] [CPU] Real: (938)
[108] [DMA] Real: (-9962840064.000000)
[109] [CPU] Real: (2100)
[109] [DMA] Real: (-16414653440.000000)
[110] [CPU] Real: (-1481)
[110] [DMA] Real: (21799510016.000000)
[111] [CPU] Real: (-1461)
[111] [DMA] Real: (790892352.000000)
[112] [CPU] Real: (-280)
[112] [DMA] Real: (-1805791488.000000)
[113] [CPU] Real: (-216)
[113] [DMA] Real: (-2805493248.000000)
[114] [CPU] Real: (178)
[114] [DMA] Real: (-3336445952.000000)
[115] [CPU] Real: (-1742)
[115] [DMA] Real: (-3659766272.000000)
[116] [CPU] Real: (2220)
[116] [DMA] Real: (-3877448960.000000)
[117] [CPU] Real: (-639)
[117] [DMA] Real: (-4033428480.000000)
[118] [CPU] Real: (297)
[118] [DMA] Real: (-4152197888.000000)
[119] [CPU] Real: (-1389)
[119] [DMA] Real: (-4243329536.000000)
[120] [CPU] Real: (880)
[120] [DMA] Real: (-4315289600.000000)
[121] [CPU] Real: (167)
[121] [DMA] Real: (-4372599296.000000)
[122] [CPU] Real: (-276)
[122] [DMA] Real: (-4421685248.000000)
[123] [CPU] Real: (81)
[123] [DMA] Real: (-4463276544.000000)
[124] [CPU] Real: (-480)
[124] [DMA] Real: (-4498058752.000000)
[125] [CPU] Real: (1252)
[125] [DMA] Real: (-4531202560.000000)
[126] [CPU] Real: (1866)
[126] [DMA] Real: (-4568263168.000000)
[127] [CPU] Real: (1829)
[127] [DMA] Real: (-4639082496.000000)
[CPU] Resulting frequency is about 34.375000
[DMA] Resulting frequency is about 873.125000
End CPU vs DMA Comparison
[DONE] Test
